condition,seed,seconds,cells,divisions,deaths,time_mean_margin,final_margin,final_atp,matter_residual,max_abs_matter_residual,exact_baseline_state,exact_baseline_rng,physical_digest,neural_attachments,neural_budget_calls,neural_effector_calls,neural_effector_rejections,neural_allocated_atp,neural_allocated_material,neural_returned_atp,neural_returned_material,neural_spent_atp,neural_spent_signal,finite
frozen_05,101,5.0,2,0,0,0.970490082946299,0.9810466307894521,0.9809084600878695,-5.756383224309047e-06,5.756383224309047e-06,1,1,21c886fd4b98a38b462bc5366538035903d93a0dc81db2dad9a583b23eff301b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_unattached,101,5.0,2,0,0,0.970490082946299,0.9810466307894521,0.9809084600878695,-5.756383224309047e-06,5.756383224309047e-06,1,1,21c886fd4b98a38b462bc5366538035903d93a0dc81db2dad9a583b23eff301b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_null_attachment,101,5.0,2,0,0,0.970490082946299,0.9810466307894521,0.9809084600878695,-5.756383224309047e-06,5.756383224309047e-06,1,1,21c886fd4b98a38b462bc5366538035903d93a0dc81db2dad9a583b23eff301b,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_budget_roundtrip,101,5.0,2,0,0,0.970490082946299,0.9810466307894521,0.9809084600878695,-5.756383224309047e-06,5.756383224309047e-06,1,1,21c886fd4b98a38b462bc5366538035903d93a0dc81db2dad9a583b23eff301b,2,180,0,0,0.5400000000000004,0.08240000000000046,0.5400000000000004,0.08240000000000046,0.0,0.0,1
p0_paid_effector_stress,101,5.0,2,0,0,0.9712657288694836,0.9807954646092014,0.9463159889925278,-5.870782171513156e-06,5.870782171513156e-06,0,0,d2dba9e787540ba53f1b8d1292705a5b06055332f3f7a95e6f6185cec222b406,2,182,180,0,0.6120000000000001,0.11119999999999976,0.4477094628469821,0.09244270957807295,0.16429053715301783,0.012671133938018787,1
frozen_05,202,5.0,2,0,0,0.9703998510509524,0.9807937261216491,0.9832795631351239,-3.767292422907076e-06,3.767292422907076e-06,1,1,e401244946ef96bd157deabdd1bee7176d0d6fef338f88f26ed99dda97ac36fc,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_unattached,202,5.0,2,0,0,0.9703998510509524,0.9807937261216491,0.9832795631351239,-3.767292422907076e-06,3.767292422907076e-06,1,1,e401244946ef96bd157deabdd1bee7176d0d6fef338f88f26ed99dda97ac36fc,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_null_attachment,202,5.0,2,0,0,0.9703998510509524,0.9807937261216491,0.9832795631351239,-3.767292422907076e-06,3.767292422907076e-06,1,1,e401244946ef96bd157deabdd1bee7176d0d6fef338f88f26ed99dda97ac36fc,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_budget_roundtrip,202,5.0,2,0,0,0.9703998510509524,0.9807937261216491,0.9832795631351239,-3.767292422907076e-06,3.767292422907076e-06,1,1,e401244946ef96bd157deabdd1bee7176d0d6fef338f88f26ed99dda97ac36fc,2,180,0,0,0.5400000000000004,0.08480000000000043,0.5400000000000004,0.08480000000000043,0.0,0.0,1
p0_paid_effector_stress,202,5.0,2,0,0,0.971034548772506,0.9801420382905182,0.8580621064768345,-4.282586781201303e-06,4.282586781201303e-06,0,0,72ae1599b3e03e0506f01eb914642b2da4ef143c95562ca89d386d271237d702,2,182,180,0,0.6120000000000001,0.09039999999999988,0.44768334525655373,0.07419182144589268,0.1643166547434459,0.010208178554107335,1
frozen_05,303,5.0,2,0,0,0.9727515430656358,0.9821246591723364,0.9288438650735609,-6.632842481479884e-06,6.632842481479884e-06,1,1,753454584f9469e8ef957b0628b3adfb9f361288442307d608b36db03cf73b55,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_unattached,303,5.0,2,0,0,0.9727515430656358,0.9821246591723364,0.9288438650735609,-6.632842481479884e-06,6.632842481479884e-06,1,1,753454584f9469e8ef957b0628b3adfb9f361288442307d608b36db03cf73b55,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_null_attachment,303,5.0,2,0,0,0.9727515430656358,0.9821246591723364,0.9288438650735609,-6.632842481479884e-06,6.632842481479884e-06,1,1,753454584f9469e8ef957b0628b3adfb9f361288442307d608b36db03cf73b55,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0_budget_roundtrip,303,5.0,2,0,0,0.9727515430656358,0.9821246591723364,0.9288438650735609,-6.632842481479884e-06,6.632842481479884e-06,1,1,753454584f9469e8ef957b0628b3adfb9f361288442307d608b36db03cf73b55,2,180,0,0,0.5400000000000004,0.07200000000000034,0.5400000000000004,0.07200000000000034,0.0,0.0,1
p0_paid_effector_stress,303,5.0,2,0,0,0.9729588127317688,0.9814867471006292,0.9003473048921349,-6.108341052524224e-06,6.108341052524224e-06,0,0,8b9122035eadbe4b604f71dd22bcdb76644035005372f07e72d5fa315d1db343,2,182,180,0,0.6120000000000001,0.10159999999999982,0.447627687535178,0.08403519297097851,0.16437231246482142,0.011564807029021443,1
