kind,profile,n,errors,mean_margin_auc,positive_margin_auc,mean_uptake_delta,positive_uptake_delta,mean_metabolic_module_atp_total,positive_metabolic_module_atp_total,mean_metabolic_module_material_total,positive_metabolic_module_material_total,mean_auc_diff,positive_auc_diff,mean_motor_atp_diff,positive_motor_atp_diff,mean_dissipated_diff,positive_dissipated_diff,mean_uptake_diff,positive_uptake_diff,mean_false_lease,positive_false_lease,mean_false_feedback,positive_false_feedback,mean_confirmed,positive_confirmed,mean_lease,positive_lease,mean_material_residual,positive_material_residual,max_abs_residual
confirmation,efficient2,6,0,23.159490059641048,6,1.0068133995977644,6,0.003232507400000001,6,1.7401500000000006e-05,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.2423673190653517e-05,0,1.4742462695949143e-05
confirmation,efficient4,6,0,23.023924290114664,6,1.063340293227615,6,0.006463889600000002,6,3.795600000000001e-05,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.213297527513646e-05,0,1.4170916216471596e-05
confirmation,full8,6,0,22.72859845446203,6,1.094726772027615,6,0.014569972800000006,6,9.130800000000003e-05,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.0619193481886668e-05,0,1.205874544396579e-05
confirmation,no_tissue,6,0,23.661982612525264,6,0.916841564205081,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1508514730233324e-05,0,1.4920216738545378e-05
fault,efficient2,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.5173783004817096e-06
fault,efficient4,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.4445977064857516e-06
fault,full8,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0008739772493016792,6,-0.003851533409658572,0,-0.0038259678086735075,0,0.0,0,0.0,0,0.0,0,1.0,6,1.0,6,0.0,0,2.469868483956361e-06
screening,efficient2,4,0,18.40243314386365,4,0.6569835904165171,4,0.0023908906000000008,4,1.0003500000000002e-05,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1133421929265808e-05,0,1.2791095908681882e-05
screening,efficient4,4,0,18.62536765842763,4,0.61302369456812,4,0.004752098200000002,4,1.6564500000000004e-05,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1269677300695946e-05,0,1.1892218921616404e-05
screening,full8,4,0,18.10221498626019,4,0.5014583298985147,4,0.010732204800000004,4,4.132800000000001e-05,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1315645822129738e-05,0,1.3125004024061582e-05
screening,no_prediction,4,0,18.03725934200392,4,0.4960910746860208,4,0.009143989600000003,4,3.2706000000000015e-05,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.0504925463727943e-05,0,1.1353565895433348e-05
screening,no_recurrence,4,0,18.221169263030145,4,0.5278376124323628,4,0.009536508800000003,4,3.3768000000000006e-05,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.0311412436792011e-05,0,1.1239292245335264e-05
screening,no_tissue,4,0,19.305745814602805,4,0.6940497544347685,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.0838907138932541e-05,0,1.1951530940024213e-05
screening,size2,4,0,18.392027965624532,4,0.5610734711638576,4,0.002448232800000001,4,8.658000000000002e-06,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1336134192241332e-05,0,1.296057328659117e-05
screening,size4,4,0,18.467822380623552,4,0.6488159730775976,4,0.004848544800000002,4,1.7478e-05,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1004215019205787e-05,0,1.2166565088733705e-05
stable,efficient2,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.8309475812449136e-06
stable,efficient4,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.785134599392336e-06
