kind,policy,n,mean_margin_auc,positive_margin_auc,mean_uptake_delta,positive_uptake_delta,mean_neurogenesis_developments,positive_neurogenesis_developments,mean_neurogenesis_reabsorptions,positive_neurogenesis_reabsorptions,mean_neurogenesis_probe_positive,positive_neurogenesis_probe_positive,mean_neurogenesis_probe_nonpositive,positive_neurogenesis_probe_nonpositive,mean_neurogenesis_sentinel_atp,positive_neurogenesis_sentinel_atp,mean_neurogenesis_sentinel_wear,positive_neurogenesis_sentinel_wear,mean_neurogenesis_organ_atp_total,positive_neurogenesis_organ_atp_total,mean_neurogenesis_organ_material_total,positive_neurogenesis_organ_material_total,mean_neurogenesis_prediction_atp_total,positive_neurogenesis_prediction_atp_total,mean_neurogenesis_recurrence_atp_total,positive_neurogenesis_recurrence_atp_total,mean_neurogenesis_plasticity_atp_total,positive_neurogenesis_plasticity_atp_total,mean_neurogenesis_returned_material,positive_neurogenesis_returned_material,mean_neurogenesis_returned_atp,positive_neurogenesis_returned_atp,mean_material_residual,positive_material_residual,mean_finite,positive_finite,max_abs_material_residual
confirmation,always_efficient2,6,22.686329458451514,6,0.49725354743142997,6,1.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0005211550000000007,6,2.3625000000000003e-06,6,0.0005211550000000007,6,0.0,0,0.0,0,0.0,0,0.0,0,-1.1701250692534396e-05,0,1.0,6,1.392486019824446e-05
confirmation,always_no_tissue,6,22.63998730744107,6,0.41628616495635745,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1256443097333127e-05,0,1.0,6,1.2766133444586103e-05
confirmation,demand,6,22.01835218347578,6,0.5213800381021728,6,1.0,6,0.16666666666666666,1,0.8333333333333334,5,0.16666666666666666,1,0.0006904007999999824,6,1.362083333333345e-06,6,0.0007916471333333336,6,9.505500000000004e-06,4,0.00028989900000000015,6,0.0,0,0.0005017481333333334,6,0.0042031748562987685,1,0.0013311596558861286,1,-1.1790715385373574e-05,0,1.0,6,1.3641489889693048e-05
confirmation,prepared_no_tissue,6,21.746020212398346,6,0.457347137358265,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0006904007999999824,6,1.362083333333345e-06,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1768697444717683e-05,0,1.0,6,1.3386743933807566e-05
confirmation,random_cost_matched,6,20.44097358698065,6,0.45736584915088657,6,0.5,3,0.0,0,0.16666666666666666,1,0.0,0,0.0006904007999999824,6,1.362083333333345e-06,6,0.00013869233333333334,2,5.250000000000001e-08,1,7.335900000000001e-05,2,0.0,0,6.533333333333334e-05,2,0.0,0,0.0,0,-1.2037183797275475e-05,0,1.0,6,1.4896723229185227e-05
screening,always_efficient2,4,24.914360529849127,4,0.9146446338030656,4,1.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0005217710000000007,4,3.6225e-06,4,0.0005217710000000007,4,0.0,0,0.0,0,0.0,0,0.0,0,-1.2043443541998045e-05,0,1.0,4,1.3606254075426705e-05
screening,always_no_tissue,4,24.716384873463518,4,0.823199870865899,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1.1253303321190344e-05,0,1.0,4,1.3152620802259207e-05
screening,demand,4,24.419426209811903,4,0.8060038805231277,4,1.0,4,0.5,2,0.5,2,0.5,2,0.0006904007999999824,4,1.362083333333345e-06,4,0.0008418007000000002,4,1.4933250000000005e-05,4,0.00027469450000000014,4,0.0,0,0.0005671062000000002,4,0.012388515830957427,2,0.0038823268197509956,2,-1.225857395947827e-05,0,1.0,4,1.4024506331367093e-05
screening,demand_no_plasticity,4,24.611196734154582,4,0.8431659509233769,4,1.0,4,0.5,2,0.5,2,0.5,2,0.0006904007999999824,4,1.362083333333345e-06,4,0.0002747330000000001,4,4.567500000000002e-06,4,0.0002747330000000001,4,0.0,0,0.0,0,0.012384431133476837,2,0.003880863209043998,2,-1.2258662716035928e-05,0,1.0,4,1.4024376945087624e-05
screening,demand_no_prediction,4,24.78649637842706,4,0.8815666042364727,4,1.0,4,0.5,2,0.5,2,0.5,2,0.0006904007999999824,4,1.362083333333345e-06,4,0.0005091062000000001,4,1.0444500000000003e-05,2,0.0,0,0.0,0,0.0005091062000000001,4,0.012387382859706367,2,0.003881520841616472,2,-1.2261097825927436e-05,0,1.0,4,1.4029886820310367e-05
