kind,condition,n,mean_margin_auc,mean_uptake_delta,mean_developments,mean_investments,mean_option_level,mean_full_level,max_abs_material_residual,finite_runs
boundary,conditional_0.25,3,28.311445682964475,0.6452106385757731,0.0,1.0,0.9998510101010111,0.24996275252525277,1.6499662425673023e-05,3
boundary,conditional_0.50,3,28.0665348344115,0.6224652776286846,0.0,1.0,0.999904461279462,0.499952230639731,1.9190683214986848e-05,3
boundary,conditional_0.75,3,27.623616808629247,0.5668405956425809,0.0,1.0,0.9999363075196213,0.749952230639716,1.5796969584869203e-05,3
boundary,conditional_0.85,3,27.888850485451684,0.6180225044801703,0.0,1.0,1.0,0.85,1.6766743318186172e-05,3
boundary,conditional_0.90,3,28.381611860061614,0.6419980187177904,0.0,1.0,0.9999469229330179,0.8999522306397161,1.6264482951555692e-05,3
boundary,conditional_0.95,3,27.216148446751152,0.5616494063406161,1.0,1.0,0.021186942524651236,0.020127595398418668,1.6301337595336918e-05,3
boundary,conditional_1.00,3,27.17876040386831,0.557822501739574,1.0,1.0,0.030180765993251753,0.030180765993251753,1.6092249932597724e-05,3
holdout,always_efficient2,6,31.496380672567245,0.5364678730189367,1.0,0.0,0.0,0.0,2.0530307139665638e-05,6
holdout,always_no_tissue,6,32.09681740120495,0.41992569576171707,0.0,0.0,0.0,0.0,1.9774069489386648e-05,6
holdout,conditional,6,29.70217715426553,0.3381472456032803,1.0,1.0,0.015849060783266297,0.015056607744102982,1.9893145545069046e-05,6
holdout,eager,6,30.83859289081208,0.4411233377228306,1.0,0.0,0.02973265993265979,0.02973265993265979,1.9719936847906183e-05,6
holdout,option_no_tissue,6,30.620348358139278,0.41704114430494027,0.0,0.0,0.9994002303739181,0.9494302188552223,2.0457293715026026e-05,6
holdout,random_cost_matched,6,30.982977727966297,0.45053118497348615,0.3333333333333333,0.0,0.6761973063973089,0.6761973063973089,2.016926752901327e-05,6
stable,conditional,12,29.248533123925075,4.487362980651426,0.0,0.0,0.9999524853801023,0.9499548611110971,2.568529733792957e-06,12
