cells,condition,deaths,divisions,environment,external_fitness_events,finite,first_complete_loss_age,first_reentry_age,grammar_absent_frequency,grammar_hgt_acquisitions,grammar_reentries,hgt,hgt_integrations,hgt_reentries,lineage_shannon,material_residual,max_abs_material_residual,max_generation,mean_active_modules,mean_expressed_modules,mean_generation,mutation,mutation_events,mutation_reentries,organ_frequency,persistent_hgt_reentry_cells,persistent_hgt_reentry_grammar_cells,persistent_mutation_reentry_cells,persistent_reentry_cells,persistent_reentry_grammar_cells,plasticity_frequency,prediction_frequency,readiness_frequency,reentry_lineage_frequency,seconds,seed,sentinel_frequency,transfer_events,unique_grammar_signatures,wall_seconds
12,stable_hgt_on,206,212,stable,0,1,,24.75,0.4166666666666667,17,15,1,23,15,0.2868359830561607,-1.77351466845721e-11,1.77351466845721e-11,21,0.08333333333333333,0.08333333333333333,20.5,1,27,0,0.0,6,6,0,6,6,0.0,0.08333333333333333,0.0,0.5,480.0,6731,0.0,39,4,23.77475666999817
12,stable_hgt_on,164,170,stable,0,1,,43.0,0.0,34,8,1,83,8,-0.0,-1.2960299500264227e-11,1.2960299500264227e-11,19,0.25,0.25,18.583333333333332,1,42,0,0.0,12,12,0,12,12,0.0,0.16666666666666666,0.0,1.0,480.0,6732,0.08333333333333333,39,5,28.157219648361206
12,stable_hgt_on,166,172,stable,0,1,,34.0,0.0,34,9,1,80,9,-0.0,-9.094947017729282e-13,2.1600499167107046e-12,19,1.3333333333333333,1.3333333333333333,18.25,1,49,0,0.5,12,12,0,12,12,0.0,0.3333333333333333,0.3333333333333333,1.0,480.0,6733,0.16666666666666666,39,7,29.587376832962036
12,stable_hgt_off,181,187,stable,0,1,209.75,,0.5833333333333334,0,0,0,0,0,0.6791932659915256,-7.16227077646181e-12,7.16227077646181e-12,21,0.16666666666666666,0.16666666666666666,18.083333333333332,1,13,0,0.0,0,0,0,0,0,0.0,0.0,0.08333333333333333,0.0,480.0,6731,0.08333333333333333,39,4,22.17340898513794
12,stable_hgt_off,201,207,stable,0,1,,,0.3333333333333333,0,0,0,0,0,0.6365141682948128,-6.0254023992456496e-12,6.0254023992456496e-12,21,0.0,0.0,19.583333333333332,1,26,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,480.0,6732,0.0,39,3,23.878832817077637
12,stable_hgt_off,177,183,stable,0,1,,,0.25,0,0,0,0,0,0.5623351446188083,-1.5916157281026244e-11,1.5916157281026244e-11,21,0.4166666666666667,0.4166666666666667,17.25,1,20,0,0.0,0,0,0,0,0,0.0,0.0,0.25,0.0,480.0,6733,0.16666666666666666,39,5,23.86967968940735
12,long_delay_hgt_on,157,163,long_delay,0,1,,25.0,0.0,14,9,1,38,9,0.6931471805599453,-7.844391802791506e-12,8.412825991399586e-12,17,0.0,0.0,16.166666666666668,1,19,0,0.0,6,6,0,6,6,0.0,0.0,0.0,0.5,480.0,6731,0.0,39,4,30.301899671554565
12,long_delay_hgt_on,175,181,long_delay,0,1,,49.0,0.16666666666666666,23,12,1,60,12,-0.0,-2.319211489520967e-11,2.319211489520967e-11,20,1.4166666666666667,1.4166666666666667,18.666666666666668,1,28,0,0.25,10,10,0,10,10,0.3333333333333333,0.8333333333333334,0.0,0.8333333333333334,480.0,6732,0.0,39,5,26.77672290802002
12,long_delay_hgt_on,159,165,long_delay,0,1,,34.25,0.0,25,12,1,80,12,-0.0,-2.148681232938543e-11,2.148681232938543e-11,17,1.4166666666666667,1.3333333333333333,16.75,1,38,0,0.0,12,12,0,12,12,0.16666666666666666,1.0,0.0,1.0,480.0,6733,0.25,39,6,30.369536638259888
12,long_delay_hgt_off,179,185,long_delay,0,1,372.0,,1.0,0,0,0,0,0,-0.0,-3.637978807091713e-12,5.229594535194337e-12,20,0.0,0.0,18.333333333333332,1,14,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,480.0,6731,0.0,39,1,28.99135708808899
12,long_delay_hgt_off,195,201,long_delay,0,1,345.5,,1.0,0,0,0,0,0,-0.0,-1.3983481039758772e-11,1.3983481039758772e-11,21,0.0,0.0,20.416666666666668,1,11,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,480.0,6732,0.0,39,1,21.82452416419983
12,long_delay_hgt_off,168,174,long_delay,0,1,,,0.0,0,0,0,0,0,-0.0,-7.73070496506989e-12,7.73070496506989e-12,17,0.0,0.0,16.25,1,23,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,480.0,6733,0.0,39,3,24.225318908691406
