scenario,condition,seed,seconds,wall_seconds,final_cells,births,divisions,deaths,max_generation,mean_margin_over_time,final_margin,mean_atp,mean_damage,mean_loop,corpse_material,corpse_toxic_material,necrophagy_mass,necrotoxin_uptake,edna_fragments,edna_material,hgt_attempts,hgt_integrations,hgt_digestions,hgt_novel_path_events,recipient_novel_path,first_path_age,recipient_genome_length,mean_genome_length,max_genome_length,mobile_exports,mobile_carriers,new_mobile_carriers,ecology_atp_total,cells_with_foreign_information,total_material,matter_residual,max_abs_matter_residual
corpse_resource,clean_full,101,45.0,2.701443910598755,1,0,0,1,0,0.5368317281251108,0.3100358127168081,0.0,0.02101320637539829,0.0321749983060384,0.9586720498159715,0.0,2.0630601852248196,0.042952388113044394,14,0.38048,1,1,0,0,1,,496,496.0,496,0,0,0,0.46987324074946046,1,9.20769139619058,-6.936176681904271e-07,6.936176681904271e-07
corpse_resource,clean_full,202,45.0,2.4921674728393555,1,0,0,1,0,0.5525631524964643,0.26618557466162773,0.0,0.014363399496458972,0.012627282421319304,0.4426466556776824,0.0,2.744548300553001,0.043086938597251316,1,0.38622,0,0,0,0,1,,480,480.0,480,0,0,0,0.6038006261216601,0,8.98109877047866,-6.48013463333541e-07,6.48013463333541e-07
corpse_resource,clean_full,303,45.0,2.680297613143921,1,0,0,1,0,0.6645018333112898,0.31723236687882667,0.0,0.011669186554230295,0.035616831223670084,0.36356042485068885,0.0,2.9032620262958564,0.04313951017150413,14,0.33948,2,1,1,0,1,,512,512.0,512,0,0,0,0.6841576457850889,1,9.638053962250687,-8.385214478323633e-07,8.385214478323633e-07
corpse_resource,clean_no_nutrition,101,45.0,2.625415325164795,1,0,0,1,0,0.5654583903348511,0.24560266642104797,0.0,0.006392422026391355,0.004856910710102034,1.8768003987248578,0.01025865563300841,0.0,0.0,1,0.38622,0,0,0,0,1,,480,480.0,480,0,0,0,0.0,0,9.665827731945974,-7.854357306769089e-07,7.854357306769089e-07
corpse_resource,clean_no_nutrition,202,45.0,2.7998294830322266,1,0,0,1,0,0.5169286443327392,0.5542716469855364,0.016038280862950255,0.013318113242921826,0.11118033340070053,1.8822133994083097,0.01025865563300842,0.0,0.0,14,0.35424,1,0,1,0,1,,480,480.0,480,0,0,0,0.02016,0,9.354697537395369,-5.36726712851987e-07,5.36726712851987e-07
corpse_resource,clean_no_nutrition,303,45.0,2.727642297744751,1,0,0,1,0,0.5698388287489471,0.5026837955704776,0.010188660776333904,0.0070479760715266735,0.089660650591494,1.8941158793123842,0.010258655633008406,0.0,0.0,10,0.31488,2,0,2,0,1,,480,480.0,480,0,0,0,0.04032,0,9.807148079640703,-8.156586197571869e-07,8.156586197571869e-07
corpse_resource,clean_immediate_recycle,101,45.0,2.453974723815918,1,0,0,1,0,0.44936727805542104,0.24226027273929657,0.0,0.02790597091822329,0.0011810080835090331,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,,480,480.0,480,0,0,0,0.0,0,9.212987168969414,-3.1108469933371907e-07,3.1108469933371907e-07
corpse_resource,clean_immediate_recycle,202,45.0,2.4503867626190186,1,0,0,1,0,0.4151571499025633,0.24240654278634602,0.0,0.026807356096901776,0.000336122086298457,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,,480,480.0,480,0,0,0,0.0,0,9.160190961763588,-4.391368886302871e-07,4.391368886302871e-07
corpse_resource,clean_immediate_recycle,303,45.0,2.5441434383392334,1,0,0,1,0,0.46589766660019566,0.38639093127335156,0.003675191786316231,0.024539827825564,0.05164211263897627,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,,480,480.0,480,0,0,0,0.0,0,9.828841094551201,-4.644044029333827e-07,4.644044029333827e-07
corpse_resource,toxic_full,101,45.0,2.7465367317199707,1,0,0,1,0,0.5477904300326923,0.24307974638957075,0.0,0.024402134455727732,0.0028533634197510293,1.038956602102981,0.10293017242660996,2.099030308396208,0.07945676700295036,17,0.35424,1,1,0,0,1,,528,528.0,528,0,0,0,0.5097866678471662,1,10.019846835368726,-6.495159396990857e-07,6.495159396990857e-07
